probe	replicate	treatment	repXtrt	input	output	log_input	log_output	match	locus_tag	probe_index	locus_tag_index	repXtrt_index
A_07_P052986	1	0	rep1trt0	13.354232666666666	10.507812	2.5918333882782574	2.352118980532678	lcl|NC_002695.1_cds_NP_309203.1_1134	ECs1176	0	0	0
A_07_P052986	2	0	rep2trt0	6.815142333333334	11.374824333333335	1.919146950232431	2.431402521494323	lcl|NC_002695.1_cds_NP_309203.1_1134	ECs1176	0	0	1
A_07_P052986	3	0	rep3trt0	146.89397333333332	8.379672	4.989711056697232	2.125808772916514	lcl|NC_002695.1_cds_NP_309203.1_1134	ECs1176	0	0	2
A_07_P052986	1	1	rep1trt1	0.6299640999999999	2.4082822	-0.4620924453472	0.8789137132710775	lcl|NC_002695.1_cds_NP_309203.1_1134	ECs1176	0	0	3
A_07_P052986	2	1	rep2trt1	0.6516122666666667	6.384148000000001	-0.428305576976154	1.8538180428361806	lcl|NC_002695.1_cds_NP_309203.1_1134	ECs1176	0	0	4
A_07_P052986	3	1	rep3trt1	7.188469	1.9010803000000003	1.9724782144277255	0.642422303539998	lcl|NC_002695.1_cds_NP_309203.1_1134	ECs1176	0	0	5
A_07_P052976	1	0	rep1trt0	7.657880666666667	7.474854333333333	2.035735270100922	2.0115446319073853	lcl|NC_002695.1_cds_NP_311025.1_2859	ECs2998	1	1	0
A_07_P052976	2	0	rep2trt0	8.686018333333335	7.355975333333333	2.1617146447865867	1.9955129534647469	lcl|NC_002695.1_cds_NP_311025.1_2859	ECs2998	1	1	1
A_07_P052976	3	0	rep3trt0	82.32716	10.905328666666668	4.41070106539166	2.3892515382793524	lcl|NC_002695.1_cds_NP_311025.1_2859	ECs2998	1	1	2
A_07_P052976	1	1	rep1trt1	0.7503723666666667	1.7978922	-0.2871857067727205	0.5866149787459074	lcl|NC_002695.1_cds_NP_311025.1_2859	ECs2998	1	1	3
A_07_P052976	2	1	rep2trt1	0.7083159666666666	1.8110663999999999	-0.34486500423935085	0.5939158430552008	lcl|NC_002695.1_cds_NP_311025.1_2859	ECs2998	1	1	4
A_07_P052976	3	1	rep3trt1	3.9916733333333334	2.0155855833333334	1.3842105247736123	0.7009097652552324	lcl|NC_002695.1_cds_NP_311025.1_2859	ECs2998	1	1	5
A_07_P052967	1	0	rep1trt0	17.017413333333334	12.488858333333335	2.83423713353037	2.5248369135011615	lcl|NC_002695.1_cds_NP_311023.1_2857	ECs2996	2	2	0
A_07_P052967	2	0	rep2trt0	10.426774333333332	7.753668666666667	2.3443769530426435	2.0481661077021065	lcl|NC_002695.1_cds_NP_311023.1_2857	ECs2996	2	2	1
A_07_P052967	3	0	rep3trt0	96.85146999999999	14.288153333333335	4.573178567848299	2.659430755692835	lcl|NC_002695.1_cds_NP_311023.1_2857	ECs2996	2	2	2
A_07_P052967	1	1	rep1trt1	1.3249082333333333	1.8583581999999998	0.28134319917811385	0.619693409754465	lcl|NC_002695.1_cds_NP_311023.1_2857	ECs2996	2	2	3
A_07_P052967	2	1	rep2trt1	1.3596788333333334	2.7730756666666667	0.3072485198989114	1.0199570531948852	lcl|NC_002695.1_cds_NP_311023.1_2857	ECs2996	2	2	4
A_07_P052967	3	1	rep3trt1	9.581895333333334	2.1043811333333333	2.259875415142383	0.7440214254918691	lcl|NC_002695.1_cds_NP_311023.1_2857	ECs2996	2	2	5
A_07_P052902	1	0	rep1trt0	5.692807999999999	6.0862223333333345	1.7392036237722588	1.806027582738713	lcl|NC_002695.1_cds_NP_311010.1_2845	ECs2983	3	10	0
A_07_P052902	2	0	rep2trt0	31.708703333333336	12.369151333333335	3.456591196302427	2.515205577206323	lcl|NC_002695.1_cds_NP_311010.1_2845	ECs2983	3	10	1
A_07_P052902	3	0	rep3trt0	219.01032999999998	7.821708666666666	5.389118897653852	2.056903030263407	lcl|NC_002695.1_cds_NP_311010.1_2845	ECs2983	3	10	2
A_07_P052902	1	1	rep1trt1	0.5807198	2.2067957000000002	-0.5434869104056662	0.7915415538914925	lcl|NC_002695.1_cds_NP_311010.1_2845	ECs2983	3	10	3
A_07_P052902	2	1	rep2trt1	2.2388436666666665	2.3907663333333335	0.8059595123413136	0.8716139561109637	lcl|NC_002695.1_cds_NP_311010.1_2845	ECs2983	3	10	4
A_07_P052902	3	1	rep3trt1	11.657970999999998	1.5017256	2.455990152058075	0.4066148469051345	lcl|NC_002695.1_cds_NP_311010.1_2845	ECs2983	3	10	5
A_07_P052835	1	0	rep1trt0	15.538299	14.141906666666666	2.7433078794889183	2.649142493433688	lcl|NC_002695.1_cds_NP_310989.1_2824	ECs2962	4	18	0
A_07_P052835	2	0	rep2trt0	821.6388999999999	85.97268000000001	6.711301004134232	4.454029571365696	lcl|NC_002695.1_cds_NP_310989.1_2824	ECs2962	4	18	1
A_07_P052835	3	0	rep3trt0	383.99873333333335	69.70336666666667	5.950639253971175	4.24424861884769	lcl|NC_002695.1_cds_NP_310989.1_2824	ECs2962	4	18	2
A_07_P052835	1	1	rep1trt1	1.5225636666666666	2.0577183333333333	0.42039553691424564	0.7215977637755717	lcl|NC_002695.1_cds_NP_310989.1_2824	ECs2962	4	18	3
A_07_P052835	2	1	rep2trt1	24.718033333333334	17.154073333333333	3.2075330717115547	2.8422356575581205	lcl|NC_002695.1_cds_NP_310989.1_2824	ECs2962	4	18	4
A_07_P052835	3	1	rep3trt1	35.208526666666664	2.0039887333333337	3.5612882881184125	0.6951395611176595	lcl|NC_002695.1_cds_NP_310989.1_2824	ECs2962	4	18	5
A_07_P038456	1	0	rep1trt0	7.635599000000002	6.558694666666667	2.032821390079124	1.8807915994162694	lcl|NC_002695.1_cds_NP_309213.1_1144	ECs1186	5	23	0
A_07_P038456	2	0	rep2trt0	6.830451666666666	9.583043333333334	1.9213908012156427	2.2599952172478153	lcl|NC_002695.1_cds_NP_309213.1_1144	ECs1186	5	23	1
A_07_P038456	3	0	rep3trt0	6.847358	8.355946666666666	1.923862884444635	2.122973461034729	lcl|NC_002695.1_cds_NP_309213.1_1144	ECs1186	5	23	2
A_07_P038456	1	1	rep1trt1	7.448883666666667	3.8721676666666665	2.008064177763377	1.353814470818409	lcl|NC_002695.1_cds_NP_309213.1_1144	ECs1186	5	23	3
A_07_P038456	2	1	rep2trt1	1.0682300666666666	1.6532893	0.06600313556604437	0.5027668186495439	lcl|NC_002695.1_cds_NP_309213.1_1144	ECs1186	5	23	4
A_07_P038456	3	1	rep3trt1	0.6195620333333333	1.8789532333333332	-0.47874244840898245	0.6307148309961674	lcl|NC_002695.1_cds_NP_309213.1_1144	ECs1186	5	23	5
A_07_P058025	1	0	rep1trt0	9.826823	6.465898	2.285115687617387	1.866541904356671	lcl|NC_002695.1_cds_NP_312977.1_4788	ECs4950	6	25	0
A_07_P058025	2	0	rep2trt0	68.62925666666668	8.940434333333334	4.2287189258356115	2.190584171152205	lcl|NC_002695.1_cds_NP_312977.1_4788	ECs4950	6	25	1
A_07_P058025	3	0	rep3trt0	6.5174346666666665	7.176115833333333	1.8744808424817077	1.9707582663950771	lcl|NC_002695.1_cds_NP_312977.1_4788	ECs4950	6	25	2
A_07_P058025	1	1	rep1trt1	0.6099226333333334	2.315457266666667	-0.4944231604595537	0.8396071914311477	lcl|NC_002695.1_cds_NP_312977.1_4788	ECs4950	6	25	3
A_07_P058025	2	1	rep2trt1	0.6217430666666667	2.122123766666667	-0.4752283476809978	0.7524173639700346	lcl|NC_002695.1_cds_NP_312977.1_4788	ECs4950	6	25	4
A_07_P058025	3	1	rep3trt1	0.6323055	1.6373028666666665	-0.4583826155527435	0.4930502945117533	lcl|NC_002695.1_cds_NP_312977.1_4788	ECs4950	6	25	5
A_07_P058001	1	0	rep1trt0	10.563685333333334	13.382114666666666	2.357422207294295	2.593919089048071	lcl|NC_002695.1_cds_NP_312973.1_4784	ECs4946	7	27	0
A_07_P058001	2	0	rep2trt0	142.78504	14.383076	4.96134028251281	2.666052237623644	lcl|NC_002695.1_cds_NP_312973.1_4784	ECs4946	7	27	1
A_07_P058001	3	0	rep3trt0	23.341416666666664	8.022300666666666	3.1502293219601554	2.082225246908105	lcl|NC_002695.1_cds_NP_312973.1_4784	ECs4946	7	27	2
A_07_P058001	1	1	rep1trt1	0.6129916666666666	6.484860333333334	-0.4894039374830823	1.8694702806565058	lcl|NC_002695.1_cds_NP_312973.1_4784	ECs4946	7	27	3
A_07_P058001	2	1	rep2trt1	0.6129306333333334	1.7243699666666668	-0.48950350877464555	0.5448617470531733	lcl|NC_002695.1_cds_NP_312973.1_4784	ECs4946	7	27	4
A_07_P058001	3	1	rep3trt1	0.6333241666666666	1.8375370666666668	-0.45677287628467034	0.6084261242369968	lcl|NC_002695.1_cds_NP_312973.1_4784	ECs4946	7	27	5
A_07_P053094	1	0	rep1trt0	10.376616	9.334036333333335	2.3395548130237276	2.2336675400991495	lcl|NC_002695.1_cds_NP_311059.2_2892	ECs3032	8	29	0
A_07_P053094	2	0	rep2trt0	192.57335333333333	111.31516666666668	5.260477137421391	4.7123655173416275	lcl|NC_002695.1_cds_NP_311059.2_2892	ECs3032	8	29	1
A_07_P053094	3	0	rep3trt0	5.635701333333334	6.235545666666667	1.7291215999660794	1.8302660920093992	lcl|NC_002695.1_cds_NP_311059.2_2892	ECs3032	8	29	2
A_07_P053094	1	1	rep1trt1	0.5830371666666666	1.4779597666666666	-0.5395043439489411	0.3906626006850435	lcl|NC_002695.1_cds_NP_311059.2_2892	ECs3032	8	29	3
A_07_P053094	2	1	rep2trt1	16.895883666666666	6.288261333333334	2.827070022241309	1.8386846149079	lcl|NC_002695.1_cds_NP_311059.2_2892	ECs3032	8	29	4
A_07_P053094	3	1	rep3trt1	0.5664620666666668	3.441859666666667	-0.5683451616268994	1.2360119260885438	lcl|NC_002695.1_cds_NP_311059.2_2892	ECs3032	8	29	5
A_07_P045460	1	0	rep1trt0	13.871691666666669	6.769787333333333	2.629850192763096	1.9124696733337854	lcl|NC_002695.1_cds_NP_311055.1_2888	ECs3028	9	32	0
A_07_P045460	2	0	rep2trt0	103.05144999999999	65.56797666666667	4.635228378076873	4.183087416191777	lcl|NC_002695.1_cds_NP_311055.1_2888	ECs3028	9	32	1
A_07_P045460	3	0	rep3trt0	7.067632	9.118872333333334	1.955525487453996	2.210346148780419	lcl|NC_002695.1_cds_NP_311055.1_2888	ECs3028	9	32	2
A_07_P045460	1	1	rep1trt1	1.1929469	1.6441682666666668	0.17642663248563148	0.49723464338340456	lcl|NC_002695.1_cds_NP_311055.1_2888	ECs3028	9	32	3
A_07_P045460	2	1	rep2trt1	12.61936666666667	5.583802333333334	2.535232670962057	1.7198699660751633	lcl|NC_002695.1_cds_NP_311055.1_2888	ECs3028	9	32	4
A_07_P045460	3	1	rep3trt1	0.6487904000000001	10.342528666666666	-0.43264557283787597	2.3362643910843395	lcl|NC_002695.1_cds_NP_311055.1_2888	ECs3028	9	32	5
A_07_P053053	1	0	rep1trt0	7.785894000000002	6.769271333333333	2.052313634916294	1.9123934494229577	lcl|NC_002695.1_cds_NP_311040.1_2873	ECs3013	10	33	0
A_07_P053053	2	0	rep2trt0	48.785153333333334	9.677816	3.8874260315975757	2.269836255997791	lcl|NC_002695.1_cds_NP_311040.1_2873	ECs3013	10	33	1
A_07_P053053	3	0	rep3trt0	292.57283333333334	8.765936333333334	5.67871363852485	2.1708733390605155	lcl|NC_002695.1_cds_NP_311040.1_2873	ECs3013	10	33	2
A_07_P053053	1	1	rep1trt1	0.6194915333333334	2.5848126666666666	-0.47885624494203405	0.9496530359597634	lcl|NC_002695.1_cds_NP_311040.1_2873	ECs3013	10	33	3
A_07_P053053	2	1	rep2trt1	0.6184013999999999	2.2203217	-0.48061751780463124	0.7976520952956712	lcl|NC_002695.1_cds_NP_311040.1_2873	ECs3013	10	33	4
A_07_P053053	3	1	rep3trt1	25.238613333333333	1.6178986333333334	3.2283750969139287	0.4811281673123953	lcl|NC_002695.1_cds_NP_311040.1_2873	ECs3013	10	33	5
A_07_P045438	1	0	rep1trt0	6.75566	7.5856813333333335	1.910380672042705	2.026262435178123	lcl|NC_002695.1_cds_NP_311040.1_2873	ECs3013	11	33	0
A_07_P045438	2	0	rep2trt0	8.348200666666665	13.266644333333332	2.1220460266197128	2.58525294020378	lcl|NC_002695.1_cds_NP_311040.1_2873	ECs3013	11	33	1
A_07_P045438	3	0	rep3trt0	246.46502333333333	13.440606666666667	5.507220090243895	2.5982804729651634	lcl|NC_002695.1_cds_NP_311040.1_2873	ECs3013	11	33	2
A_07_P045438	1	1	rep1trt1	0.7216229666666666	1.7853876666666668	-0.32625248331965795	0.5796355718568112	lcl|NC_002695.1_cds_NP_311040.1_2873	ECs3013	11	33	3
A_07_P045438	2	1	rep2trt1	0.6484807333333333	3.047921	-0.4331229852532016	1.1144597188533356	lcl|NC_002695.1_cds_NP_311040.1_2873	ECs3013	11	33	4
A_07_P045438	3	1	rep3trt1	22.14985	28.45044333333333	3.097830724459185	3.3481637433448936	lcl|NC_002695.1_cds_NP_311040.1_2873	ECs3013	11	33	5
A_07_P045434	1	0	rep1trt0	8.190073666666665	9.035907333333332	2.1029228925335204	2.2012063432779754	lcl|NC_002695.1_cds_NP_311038.1_2870	ECs3011	12	35	0
